869	𤧛	5	5676	2	
870	睇	5	6228	1	
871	颠	3	1688	997	
872	滇	4	3074	114	# 按3级字定义，降至4级字。
873	掂	4	3412	80	
874	癫	4	4132	21	
875	巅	4	4515	35	
876	点	1	146	34878	
877	典	2	1097	2761	
878	碘	4	2487	305	
879	踮	5	4808	8	
880	电	1	76	48461	
881	垫	2	1314	1917	
882	店	3	1512	1336	
883	淀	3	1703	971	
884	殿	4	2607	253	
885	奠	4	2798	185	
886	甸	4	2823	174	
887	佃	4	3029	125	
888	惦	4	3167	99	
889	靛	5	4366	17	
890	玷	5	4347	21	# 按附录三，升至4级字。按4级字定义，降至5级字。
891	磹	5	5685	2	
892	癜	5	6171	1	
893	凋	4	2967	141	
894	雕	4	3083	136	
895	刁	4	3197	94	
896	碉	4	3581	50	
897	叼	4	3992	28	
898	貂	5	4667	10	
899	鲷	5	4904	7	
900	屌	5	5542	2	
901	调	1	273	19504	
902	掉	2	1038	3043	
903	吊	3	2151	630	
904	钓	4	2797	185	
905	蓧	5	5963	1	
906	跌	4	2475	309	
907	爹	4	2813	181	
908	迭	3	1958	666	
909	叠	3	2333	412	
910	蝶	4	2898	158	
911	谍	4	3086	112	
912	碟	4	3383	67	
913	喋	4	3834	44	
914	牒	5	4783	8	
915	鲽	5	5131	5	
916	绖	5	5713	2	
917	垤	5	5891	1	
918	钉	2	1146	2557	
919	丁	2	1214	2234	
920	盯	4	2741	203	
921	叮	4	3376	110	
922	酊	4	3939	30	
923	圢	4	3997	27	
924	疔	5	4639	10	
925	仃	4	5303	27	# 按附录三，升至4级字。
926	顶	2	707	5985	
927	鼎	4	2515	296	
928	定	1	84	46826	
929	订	2	1323	1879	
930	锭	4	2506	298	
931	丢	3	1902	726	
932	铥	5	6201	1	
933	东	1	312	17515	
934	冬	2	789	5042	
935	咚	4	3148	103	
936	鸫	5	4813	8	# 原文作“鶇”，由于“鸫”在2312而“鶇”不在，故改正。
937	懂	2	1178	2405	
938	董	3	1961	664	
939	动	1a	23	96432	
940	洞	2	1277	2040	
941	冻	3	1594	1171	
942	栋	4	2828	176	
943	恫	4	3637	45	
944	胨	4	3645	45	
945	峒	4	4184	47	# 按附录二，升为4级字。
946	侗	5	4456	13	
947	垌	5	4550	11	
948	胴	5	4860	7	
949	硐	5	5680	2	
950	𰎏	5	6081	1	
951	都	1	142	35232	
952	兜	4	2508	297	
953	蔸	5	3144	10	# 按4级字定义，降至5级字。
954	篼	5	6291	1	
955	抖	3	2240	426	
956	陡	3	2293	399	
957	蚪	4	3319	75	
958	𫁵	5	6282	1	
959	斗	1	111	40833	
960	豆	2	1294	1983	
961	逗	4	3050	124	
962	窦	4	3603	49	
963	痘	4	3684	42	
964	督	3	1725	935	
965	嘟	4	3049	136	
966	毒	2	689	6252	
967	独	2	779	5131	
968	读	2	813	4816	
969	渎	4	2936	151	
970	犊	4	3398	84	
971	牍	4	4149	21	
972	𰅥	5	5492	2	
973	黩	5	5774	2	
974	椟	5	6059	1	
975	堵	3	1815	829	
976	赌	4	2570	268	
977	笃	4	3356	71	
978	睹	4	3421	64	
979	𨔾	5	5546	2	
980	度	1	60	56496	
981	杜	2	1195	2337	
982	渡	2	1339	1811	
